record_id,run_id,task_id,trial,profile,outcome,skill,skill_configured,skill_available,skill_invoked,skill_invocation_succeeded,skill_instructions_injected,invocation_count,successful_invocation_count,available_evidence,invocation_lines,success_lines,instruction_lines,stream_status,stream_path,stream_sha256,result_path,result_sha256
20260908T234548Z-synthetic-kimi/0008/01,20260908T234548Z-synthetic-kimi,8,1,synthetic-kimi,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260908T234548Z-synthetic-kimi/tasks/0008/trial-01/claude.stream.jsonl,4d78c281b2b7cda78d405d7666d1f3ee647c76e41fd1173ccc710740adf76f96,,
20260910T012339Z-synthetic-kimi/0008/01,20260910T012339Z-synthetic-kimi,8,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260910T012339Z-synthetic-kimi/tasks/0008/trial-01/claude.stream.jsonl,5f5a2e984d9ceabf16dd673c8be92e85daaa4b97fac13ec555e61c3852fae519,results/20260910T012339Z-synthetic-kimi/tasks/0008/trial-01/result.json,a3cb1d7eef82050abe5c9724342acb0d94c411d75eef382266c2a9f608c21c04
20260910T223845Z-synthetic-qwen/0008/01,20260910T223845Z-synthetic-qwen,8,1,synthetic-qwen,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260910T223845Z-synthetic-qwen/tasks/0008/trial-01/claude.stream.jsonl,c96c9c1ae7ac31651f12b524562b748b71fbd9e9b36ec6ad1170180ece92420a,,
20260911T231525Z-synthetic-qwen/0032/01,20260911T231525Z-synthetic-qwen,32,1,synthetic-qwen,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260911T231525Z-synthetic-qwen/tasks/0032/trial-01/claude.stream.jsonl,6a4cff686a94bf0c0f6a4d370cb5a7b64f4be8682f8c14e503a4f825cea86d0e,results/20260911T231525Z-synthetic-qwen/tasks/0032/trial-01/result.json,dbb1a61fdde73b8f72fa00e8daa660e94fba13f4245b2fa28862adf3025a58e5
20260912T001120Z-synthetic-qwen/0008/01,20260912T001120Z-synthetic-qwen,8,1,synthetic-qwen,agent-timeout,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260912T001120Z-synthetic-qwen/tasks/0008/trial-01/claude.stream.jsonl,325ab8fd8d5f05e5bca9de4ac1a3c4ee40687986314947de03b07b2c2276944e,results/20260912T001120Z-synthetic-qwen/tasks/0008/trial-01/result.json,e4a131292484720563ac778ef094ea02f7adac914e4f744970a974fd6483dae8
kimi-batch2-20260914/0009/01,kimi-batch2-20260914,9,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch2-20260914/tasks/0009/trial-01/claude.stream.jsonl,f1b62c716227ec1c531da5f07ff44a29572c99478632ffbf30098a1d764facfd,results/kimi-batch2-20260914/tasks/0009/trial-01/result.json,aed54c056aa97fe7538329b455a61ec51213b9c3d79ff37cb22f23b9711d2b90
kimi-batch2-20260914/0023/01,kimi-batch2-20260914,23,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch2-20260914/tasks/0023/trial-01/claude.stream.jsonl,3d1a9ca0db416cc5124354aea0e40c623b21b001a7e243b3a112559941bf85fd,results/kimi-batch2-20260914/tasks/0023/trial-01/result.json,dfac84ee2eb9b951d34bfd3f6eda8e8745ecb4a6552c37b8023a5b90a5f9a2f6
kimi-batch2-20260914/0056/01,kimi-batch2-20260914,56,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch2-20260914/tasks/0056/trial-01/claude.stream.jsonl,5fa75bf51845fd9cdbde7d7f8f816fd488d775f77037215cb4416140fcfd4bbb,results/kimi-batch2-20260914/tasks/0056/trial-01/result.json,c38023fd7e5c51d5b46056c3623f575a1a0c1a06e2abc345624f22163592b125
kimi-batch2-20260914/0062/01,kimi-batch2-20260914,62,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch2-20260914/tasks/0062/trial-01/claude.stream.jsonl,cdf2f64b4baf4b84b7ef9fd7f776c4888088b6e56f22c702d9bff444f987508b,results/kimi-batch2-20260914/tasks/0062/trial-01/result.json,34afefcce42fbb71c9f365b4c970aab3c066370dbf930317c44abbf91c4c10cd
kimi-batch2-20260914/0065/01,kimi-batch2-20260914,65,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch2-20260914/tasks/0065/trial-01/claude.stream.jsonl,1c30d0531794dd4cf62045bdecddbde141918c2bd82514522a888d99be1d6dee,results/kimi-batch2-20260914/tasks/0065/trial-01/result.json,83a0445d8e060b41abd51b8fa4933fd9a8af602a6851891d5fbfef142ef8d333
kimi-batch3-20260914/0041/01,kimi-batch3-20260914,41,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch3-20260914/tasks/0041/trial-01/claude.stream.jsonl,8561c1b5c0cc3fe4f300d2e8c166041e579febcce3447821698f48e640be88e1,results/kimi-batch3-20260914/tasks/0041/trial-01/result.json,1f34526593b3e2858a28aa696dd8a886f63e9b9257386fb29fe11041e617b177
kimi-batch3-20260914/0055/01,kimi-batch3-20260914,55,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch3-20260914/tasks/0055/trial-01/claude.stream.jsonl,316037a17936329d0d9cd6defd0bd70395977df2a09b3e71c0f5fd8962bb48f7,results/kimi-batch3-20260914/tasks/0055/trial-01/result.json,b145493bec002fd1b736a41a06cca1a6738ed4088ef126be6e79d33b669843c9
kimi-batch3-20260914/0057/01,kimi-batch3-20260914,57,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-batch3-20260914/tasks/0057/trial-01/claude.stream.jsonl,4bc7de9bd0e48dbb650b955d4d838c70ce27dbdae9647dbd885f88ad89f06d1d,results/kimi-batch3-20260914/tasks/0057/trial-01/result.json,7af8cc15bb33ecea023d290330b38ec6b52b621c67cb3ada6635d0d6320ac8ac
kimi-hard-dafny-skill-20260914/0057/01,kimi-hard-dafny-skill-20260914,57,1,synthetic-kimi,unfinished,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,120,124,125,partial,results/kimi-hard-dafny-skill-20260914/tasks/0057/trial-01/claude.stream.jsonl,8bc9fa05ab2dddfb9cef1a379c594286cd483d24cadbe4eca147bd0e15ec0d4d,,
kimi-hard-dafny-skill-20260914-bis/0055/01,kimi-hard-dafny-skill-20260914-bis,55,1,synthetic-kimi,unfinished,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,21,25,26,partial,results/kimi-hard-dafny-skill-20260914-bis/tasks/0055/trial-01/claude.stream.jsonl,cd70a7e300851483c3db184cdaf80eeceeb3bd88794ca2b254e9f01ff30df8bc,,
kimi-hard-dafny-skill-20260914-bis/0057/01,kimi-hard-dafny-skill-20260914-bis,57,1,synthetic-kimi,failed,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,19,23,24,complete,results/kimi-hard-dafny-skill-20260914-bis/tasks/0057/trial-01/claude.stream.jsonl,e59db20ce2e2a81605045f51d12207cddccbe67a9c1ba57dd3a1eee0ef330200,results/kimi-hard-dafny-skill-20260914-bis/tasks/0057/trial-01/result.json,52dc35eddb4a86fac882054996835d2eba07321e88dcda77d86e036db9e8e8de
kimi-hard-dafny-skill-20260915/0041/01,kimi-hard-dafny-skill-20260915,41,1,synthetic-kimi,infrastructure-error,dafny,yes,yes,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-hard-dafny-skill-20260915/tasks/0041/trial-01/claude.stream.jsonl,6b8faa7cc1d23c4f1e9d65fe8f3d7eea6539860679da69298c14503e096bcb6a,results/kimi-hard-dafny-skill-20260915/tasks/0041/trial-01/result.json,831c8e4aeb977d864b9a52990326aaa14e7d209700ba94951215aa4e1d6198f9
kimi-hard-dafny-skill-20260915/0055/01,kimi-hard-dafny-skill-20260915,55,1,synthetic-kimi,infrastructure-error,dafny,yes,yes,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-hard-dafny-skill-20260915/tasks/0055/trial-01/claude.stream.jsonl,e4ec70ea284dfb2c0c0d9dc407594cb646116d18afafb356dc5f9bd2e46ab299,results/kimi-hard-dafny-skill-20260915/tasks/0055/trial-01/result.json,1f7e2a8a125559e1a4134a3f717f37bc6125bef64defa1596bfaec9a06b705cb
kimi-hard-dafny-skill-20260915/0057/01,kimi-hard-dafny-skill-20260915,57,1,synthetic-kimi,infrastructure-error,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,21,25,26,complete,results/kimi-hard-dafny-skill-20260915/tasks/0057/trial-01/claude.stream.jsonl,9cd4258a4d44b7fe53d12a22284a051bb98adc6f247069aa6a90ca72923a6477,results/kimi-hard-dafny-skill-20260915/tasks/0057/trial-01/result.json,aedb40848282039747590f8a0dc3dea90314678148393fdaab6e39ee521f1d91
kimi-hard-dafny-skill-20260915-bis/0057/01,kimi-hard-dafny-skill-20260915-bis,57,1,synthetic-kimi,unfinished,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,17,21,22,partial,results/kimi-hard-dafny-skill-20260915-bis/tasks/0057/trial-01/claude.stream.jsonl,72f2be80c22ec9e0d97d9f90eed471c73ccee660ab0edf7fb0e02db13149f7cf,,
kimi-hard-dafny-skill-20260919-task55/0055/01,kimi-hard-dafny-skill-20260919-task55,55,1,synthetic-kimi,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,17,21,22,complete,results/kimi-hard-dafny-skill-20260919-task55/tasks/0055/trial-01/claude.stream.jsonl,a460829160d13d5f9f6b5b17c45e8e2a95c51345a1efbb72caf57ef26b572672,results/kimi-hard-dafny-skill-20260919-task55/tasks/0055/trial-01/result.json,e2c03b9bceaaad415f97d965bf8cacb267cd3cf301405f57014e7e9eb18b2a4d
kimi-hard-dafny-skill-20260919-task57/0057/01,kimi-hard-dafny-skill-20260919-task57,57,1,synthetic-kimi,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,23,27,28,complete,results/kimi-hard-dafny-skill-20260919-task57/tasks/0057/trial-01/claude.stream.jsonl,40be62b795c01f4c286d232c404500d826b8c0cb7580af8ae873adc5908b64c7,results/kimi-hard-dafny-skill-20260919-task57/tasks/0057/trial-01/result.json,1c9a3693a6de6fef6cfb6513d67b364f4e928eeb31a4af8dc29e96bd69e926e5
kimi-pilot-20260903/0019/01,kimi-pilot-20260903,19,1,synthetic-kimi,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/kimi-pilot-20260903/tasks/0019/trial-01/claude.stream.jsonl,5c19b09c8248bb0842e5312afd893613dd5da835dcee06f24378c0969734851d,,
kimi-pilot-20260903/0032/01,kimi-pilot-20260903,32,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot-20260903/tasks/0032/trial-01/claude.stream.jsonl,411dc9cd941731b3ac1b80f4300c2263c2003bea58b56743e7b1b7f68083d339,results/kimi-pilot-20260903/tasks/0032/trial-01/result.json,e546ca4ba4ec72c3f619bf63581284aae96ed50051876c99c099b50820120936
kimi-pilot5-20260914/0026/01,kimi-pilot5-20260914,26,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot5-20260914/tasks/0026/trial-01/claude.stream.jsonl,5daf3ba07fef03efa74a73c12586f9297dc24d8d00e3c768f825a9bc331db0d7,results/kimi-pilot5-20260914/tasks/0026/trial-01/result.json,4699b511de331e99653cf912dd58585eff29c035716c760dd80b21b9b61412bc
kimi-pilot5-20260914/0027/01,kimi-pilot5-20260914,27,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot5-20260914/tasks/0027/trial-01/claude.stream.jsonl,510d2c8576cf1cbca3c8e84e0707788caa2d5fab578c64d7108ced8eac739e20,results/kimi-pilot5-20260914/tasks/0027/trial-01/result.json,666a6f0dcdb95ca832030e0cbefd7375ce3b30cd1627a6b05d4f8a952c30f0e1
kimi-pilot5-20260914/0032/01,kimi-pilot5-20260914,32,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot5-20260914/tasks/0032/trial-01/claude.stream.jsonl,e877777cda794ba48bbda2d45680126a51b530bb6d2cd4333af9286f20609ebe,results/kimi-pilot5-20260914/tasks/0032/trial-01/result.json,88f553526bd9b985cd1bd1d41bc05dd926afb48f0831f6e4da049ce62c00a1ff
kimi-pilot5-20260914/0033/01,kimi-pilot5-20260914,33,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot5-20260914/tasks/0033/trial-01/claude.stream.jsonl,b3c19062955447997c1f70c3a3a5b6903e935995e66e3d35f7da11d0af690a57,results/kimi-pilot5-20260914/tasks/0033/trial-01/result.json,d0be388a1ebe3cfb992cdd2acfcbb9e29db848409cb5a99e61637653424ded57
kimi-pilot5-20260914/0061/01,kimi-pilot5-20260914,61,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/kimi-pilot5-20260914/tasks/0061/trial-01/claude.stream.jsonl,c5b7874b8a3157e48f97ed95ca458b61bacd72ee5c9e19e60d24db781dae3f77,results/kimi-pilot5-20260914/tasks/0061/trial-01/result.json,a704398551898769f259d1f38c2853c560fd3cfba549e4d4b06ed411edb1ddb1
kimi-task32-comparison/0032/01,kimi-task32-comparison,32,1,synthetic-kimi,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/kimi-task32-comparison/tasks/0032/trial-01/claude.stream.jsonl,cdeca6bf90fe68a89b9acf993ddfc6b50405e8bc49f02384a87e5dc14cf89ce5,,
ollama-hard-dafny-skill-20260915/0057/01,ollama-hard-dafny-skill-20260915,57,1,ollama-qwen,unfinished,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,87,89,90,partial,results/ollama-hard-dafny-skill-20260915/tasks/0057/trial-01/claude.stream.jsonl,8dce1fe22b7d5b3a674a024a513315c91ae14f9b09453a0cbc1e9b579589689f,,
ollama-qwen-smoke/0032/01,ollama-qwen-smoke,32,1,ollama-qwen,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/ollama-qwen-smoke/tasks/0032/trial-01/claude.stream.jsonl,5ba2962f02584bbffde955ddefd2aca91ce224841e676371f0295d0b98cc8b5a,results/ollama-qwen-smoke/tasks/0032/trial-01/result.json,636776dfedc056cdaaf92db5e1f64a44dfcf69e47d9d98fb58f8133ddd3ce098
opus-batch2-20260914/0009/01,opus-batch2-20260914,9,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch2-20260914/tasks/0009/trial-01/claude.stream.jsonl,029accfcfa7680da2faf9a1bd39ed964c4b6a1e83f06bd5d02e76dddfe3fa74a,results/opus-batch2-20260914/tasks/0009/trial-01/result.json,233d973446bd41cbe073da76d0cff1df88219840ceee7c84eef857223f2750f0
opus-batch2-20260914/0023/01,opus-batch2-20260914,23,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch2-20260914/tasks/0023/trial-01/claude.stream.jsonl,1c2421dc2e5562b7f64202acc08ee7a6861ad85a4e1cf18e04386e8c7b1f48a5,results/opus-batch2-20260914/tasks/0023/trial-01/result.json,b466f93868cc2d0d2b080e262a17b858f89adc45a3da3b63afa54a2b97e4d6b1
opus-batch2-20260914/0056/01,opus-batch2-20260914,56,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch2-20260914/tasks/0056/trial-01/claude.stream.jsonl,4c71add87dcb2d9526d2c4754699e548eb6af9097f99c07e0d130d0ff62034ea,results/opus-batch2-20260914/tasks/0056/trial-01/result.json,1fde25695b565cf4caea16bc7d43dda323727c64a36291ae8043b8e5868c6b5c
opus-batch2-20260914/0062/01,opus-batch2-20260914,62,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch2-20260914/tasks/0062/trial-01/claude.stream.jsonl,0e6e4a823efc090de1d681959eeb049d83a1ef51591f3167824d43d868ffdbda,results/opus-batch2-20260914/tasks/0062/trial-01/result.json,33883c9bc29422fa7a5f31e21c5c639fa9922114240b13e094f2934ea81984ae
opus-batch2-20260914/0065/01,opus-batch2-20260914,65,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch2-20260914/tasks/0065/trial-01/claude.stream.jsonl,7a7e8197a425c093052b97cd5235f3a7de62907d19cdc02fac18ca2505040655,results/opus-batch2-20260914/tasks/0065/trial-01/result.json,11f06bde421e8c920ef6060f9e5774225cf18dcee25372d668bcd7aecc90af63
opus-batch3-20260914/0041/01,opus-batch3-20260914,41,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch3-20260914/tasks/0041/trial-01/claude.stream.jsonl,b1680b9baaccc37b1807a5e100c19cfee05de64da4e30529e1dd787cb5c7648a,results/opus-batch3-20260914/tasks/0041/trial-01/result.json,86a2dc0775b4b9b2e49c624553171ab2739fd8bd87f4588c870c0526271fa36a
opus-batch3-20260914/0055/01,opus-batch3-20260914,55,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch3-20260914/tasks/0055/trial-01/claude.stream.jsonl,a209ce8c7e81f9768fe6dda54181cd4d9581a72de2254904e3d5097bb50fed22,results/opus-batch3-20260914/tasks/0055/trial-01/result.json,9873f4a82160b9d8199815242529f8bd4ff43823144d3c1676dcf5855bb75b6d
opus-batch3-20260914/0057/01,opus-batch3-20260914,57,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-batch3-20260914/tasks/0057/trial-01/claude.stream.jsonl,03bfa8f31a0f53d54fe58658c9a0695fe0e1d62bed99670c20ee530162b3f9ec,results/opus-batch3-20260914/tasks/0057/trial-01/result.json,795ca05319569e7f188aa4b1fe12abe56265d5cb970ff6156b2f1026fb9b5273
opus-hard-dafny-skill-20260914/0041/01,opus-hard-dafny-skill-20260914,41,1,anthropic-opus,auto-pass,dafny,yes,yes,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-hard-dafny-skill-20260914/tasks/0041/trial-01/claude.stream.jsonl,33c9512f9b0443941825d0d5498b1df760cb487a1f2a268355ec6ff0d0dfc6cb,results/opus-hard-dafny-skill-20260914/tasks/0041/trial-01/result.json,53b950d11451dba0e23e7f8463300f1ea3b7cf7b020fa9d56c9fa43b7e80e604
opus-hard-dafny-skill-20260914/0055/01,opus-hard-dafny-skill-20260914,55,1,anthropic-opus,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,57,59,60,complete,results/opus-hard-dafny-skill-20260914/tasks/0055/trial-01/claude.stream.jsonl,2927ee8eb6ba0958f59dcc85425fee87b5a5fe7c335f7969550ebfca3defcd8d,results/opus-hard-dafny-skill-20260914/tasks/0055/trial-01/result.json,668de31e465a9842a889385058f9cde84d136ea1fd05ddb947b935949ab03125
opus-hard-dafny-skill-20260914/0057/01,opus-hard-dafny-skill-20260914,57,1,anthropic-opus,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,117,122,123,complete,results/opus-hard-dafny-skill-20260914/tasks/0057/trial-01/claude.stream.jsonl,196d781a83062199be55f841610cabd78980585d0cf2f71700f2a928f0e34e17,results/opus-hard-dafny-skill-20260914/tasks/0057/trial-01/result.json,e22e39204669baf098fbb11980c9bd1f2aebbcf334033612b3d30670e29decf5
opus-hard-dafny-skill-20260915/0041/01,opus-hard-dafny-skill-20260915,41,1,anthropic-opus,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,9,13,14,complete,results/opus-hard-dafny-skill-20260915/tasks/0041/trial-01/claude.stream.jsonl,e134fb394b297c3ed9e1347072aafbcbd2349c89c0affda884c6c761f026acea,results/opus-hard-dafny-skill-20260915/tasks/0041/trial-01/result.json,ccdf81a8e334bb435026b4c5bf7f69fb8fc1ee68135f0e7e7fd03bd23fbebb70
opus-hard-dafny-skill-20260915/0055/01,opus-hard-dafny-skill-20260915,55,1,anthropic-opus,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,9,13,14,complete,results/opus-hard-dafny-skill-20260915/tasks/0055/trial-01/claude.stream.jsonl,58a9fb0034924056973618883cb75c7493d2c3bd7abf07557361b9cd224911fd,results/opus-hard-dafny-skill-20260915/tasks/0055/trial-01/result.json,96843895edcf6d79be87adac51c21556c4c922938d9409b827c92f087dd3c469
opus-hard-dafny-skill-20260915/0057/01,opus-hard-dafny-skill-20260915,57,1,anthropic-opus,auto-pass,dafny,yes,yes,yes,yes,yes,1,1,claude.stream.jsonl:1,9,13,14,complete,results/opus-hard-dafny-skill-20260915/tasks/0057/trial-01/claude.stream.jsonl,750cda29a870fb20c91b43df62ec6f8f4165d4e4c4c436c0026c9c5ad200bb0a,results/opus-hard-dafny-skill-20260915/tasks/0057/trial-01/result.json,8cb46f0ca00362fa92c88c50cd96b912d29291df6c44a3821768317719cbff1a
opus-pilot5-20260914/0026/01,opus-pilot5-20260914,26,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/opus-pilot5-20260914/tasks/0026/trial-01/claude.stream.jsonl,5b9876ba5db191ca4cfdb40a6f5aed9ef35aa09c959b2916a7707ed3447ab6de,results/opus-pilot5-20260914/tasks/0026/trial-01/result.json,82131cbdbab4f1ef0f744ebe071a8b2084c267bded6fbf87a31be834da47fb59
